Verbo,Regolare,Significato,Präteritum,Participio passato,Perfetto,Caso,Riflessivo
sein,no,essere,war,gewesen,ist gewesen,-,no
haben,no,avere,hatte,gehabt,hat gehabt,Akkusativ,no
werden,no,diventare,wurde,geworden,ist geworden,Nominativ,no
können,no,potere,konnte,gekonnt,hat gekonnt,Akkusativ,no
müssen,no,dovere,musste,gemusst,hat gemusst,Akkusativ,no
sagen,sì,dire,sagte,gesagt,hat gesagt,Dativ + Akkusativ,no
machen,sì,fare,machte,gemacht,hat gemacht,Akkusativ,no
geben,no,dare,gab,gegeben,hat gegeben,Dativ + Akkusativ,no
kommen,no,venire,kam,gekommen,ist gekommen,-,no
sollen,no,dovere,sollte,gesollt,hat gesollt,Akkusativ,no
wollen,no,volere,wollte,gewollt,hat gewollt,Akkusativ,no
gehen,no,andare,ging,gegangen,ist gegangen,-,no
wissen,no,sapere,wusste,gewusst,hat gewusst,Akkusativ,no
sehen,no,vedere,sah,gesehen,hat gesehen,Akkusativ,no
lassen,no,lasciare,ließ,gelassen,hat gelassen,Akkusativ,no
stehen,no,stare in piedi,stand,gestanden,hat gestanden,-,no
finden,no,trovare,fand,gefunden,hat gefunden,Akkusativ,no
bleiben,no,rimanere,blieb,geblieben,ist geblieben,-,no
liegen,no,giacere,lag,gelegen,hat gelegen,-,no
heißen,no,chiamarsi,hieß,geheißen,hat geheißen,Nominativ,no
denken,no,pensare,dachte,gedacht,hat gedacht,Akkusativ,no
nehmen,no,prendere,nahm,genommen,hat genommen,Akkusativ,no
tun,no,fare,tat,getan,hat getan,Akkusativ,no
dürfen,no,potere (permesso),durfte,gedurft,hat gedurft,Akkusativ,no
glauben,sì,credere,glaubte,geglaubt,hat geglaubt,Dativ + Akkusativ,no
halten,no,tenere,hielt,gehalten,hat gehalten,Akkusativ,no
nennen,no,nominare,nannte,genannt,hat genannt,Akkusativ,no
mögen,no,piacere,mochte,gemocht,hat gemocht,Akkusativ,no
zeigen,sì,mostrare,zeigte,gezeigt,hat gezeigt,Dativ + Akkusativ,no
führen,sì,condurre,führte,geführt,hat geführt,Akkusativ,no
sprechen,no,parlare,sprach,gesprochen,hat gesprochen,Akkusativ,no
bringen,no,portare,brachte,gebracht,hat gebracht,Dativ + Akkusativ,no
leben,sì,vivere,lebte,gelebt,hat gelebt,-,no
fahren,no,guidare/andare,fuhr,gefahren,ist gefahren,Akkusativ,no
meinen,sì,pensare/opinare,meinte,gemeint,hat gemeint,Akkusativ,no
fragen,sì,chiedere,fragte,gefragt,hat gefragt,Akkusativ,no
kennen,no,conoscere,kannte,gekannt,hat gekannt,Akkusativ,no
gelten,no,valere,galt,gegolten,hat gegolten,Dativ,no
stellen,sì,mettere,stellte,gestellt,hat gestellt,Akkusativ,no
spielen,sì,giocare,spielte,gespielt,hat gespielt,Akkusativ,no
arbeiten,sì,lavorare,arbeitete,gearbeitet,hat gearbeitet,-,no
brauchen,sì,aver bisogno,brauchte,gebraucht,hat gebraucht,Akkusativ,no
folgen,sì,seguire,folgte,gefolgt,ist gefolgt,Dativ,no
lernen,sì,imparare,lernte,gelernt,hat gelernt,Akkusativ,no
bestehen,no,consistere,bestand,bestanden,hat bestanden,Akkusativ,no
verstehen,no,capire,verstand,verstanden,hat verstanden,Akkusativ,no
setzen,sì,mettere/porre,setzte,gesetzt,hat gesetzt,Akkusativ,sì (sich setzen)
bekommen,no,ricevere,bekam,bekommen,hat bekommen,Akkusativ,no
beginnen,no,iniziare,begann,begonnen,hat begonnen,Akkusativ,no
erzählen,sì,raccontare,erzählte,erzählt,hat erzählt,Dativ + Akkusativ,no
versuchen,sì,provare,versuchte,versucht,hat versucht,Akkusativ,no
schreiben,no,scrivere,schrieb,geschrieben,hat geschrieben,Dativ + Akkusativ,no
laufen,no,correre,lief,gelaufen,ist gelaufen,-,no
erklären,sì,spiegare,erklärte,erklärt,hat erklärt,Dativ + Akkusativ,no
entsprechen,no,corrispondere,entsprach,entsprochen,hat entsprochen,Dativ,no
sitzen,no,sedere,saß,gesessen,hat gesessen,-,no
ziehen,no,tirare,zog,gezogen,hat/ist gezogen,Akkusativ,no
scheinen,no,sembrare,schien,geschienen,hat geschienen,-,no
fallen,no,cadere,fiel,gefallen,ist gefallen,-,no
gehören,sì,appartenere,gehörte,gehört,hat gehört,Dativ,no
entstehen,no,nascere/sorgere,entstand,entstanden,ist entstanden,-,no
erhalten,no,ricevere,erhielt,erhalten,hat erhalten,Akkusativ,no
treffen,no,incontrare,traf,getroffen,hat getroffen,Akkusativ,sì (sich treffen)
suchen,sì,cercare,suchte,gesucht,hat gesucht,Akkusativ,no
legen,sì,posare,legte,gelegt,hat gelegt,Akkusativ,sì (sich legen)
vorstellen,sì,presentare,stellte vor,vorgestellt,hat vorgestellt,Dativ + Akkusativ,sì (sich vorstellen)
handeln,sì,agire,handelte,gehandelt,hat gehandelt,-,no
erreichen,sì,raggiungere,erreichte,erreicht,hat erreicht,Akkusativ,no
tragen,no,portare,trug,getragen,hat getragen,Akkusativ,no
schaffen,sì/no,creare/farcela,schuf/schaffte,geschaffen/geschafft,hat geschaffen/geschafft,Akkusativ,no
lesen,no,leggere,las,gelesen,hat gelesen,Akkusativ,no
verlieren,no,perdere,verlor,verloren,hat verloren,Akkusativ,no
darstellen,sì,rappresentare,stellte dar,dargestellt,hat dargestellt,Akkusativ,no
erkennen,no,riconoscere,erkannte,erkannt,hat erkannt,Akkusativ,no
entwickeln,sì,sviluppare,entwickelte,entwickelt,hat entwickelt,Akkusativ,sì (sich entwickeln)
reden,sì,parlare,redete,geredet,hat geredet,-,no
aussehen,no,apparire,sah aus,ausgesehen,hat ausgesehen,-,no
erscheinen,no,apparire,erschien,erschienen,ist erschienen,-,no
bilden,sì,formare,bildete,gebildet,hat gebildet,Akkusativ,sì (sich bilden)
anfangen,no,iniziare,fing an,angefangen,hat angefangen,Akkusativ,no
erwarten,sì,aspettarsi,erwartete,erwartet,hat erwartet,Akkusativ,no
wohnen,sì,abitare,wohnte,gewohnt,hat gewohnt,-,no
betreffen,no,riguardare,betraf,betroffen,hat betroffen,Akkusativ,no
warten,sì,aspettare,wartete,gewartet,hat gewartet,Akkusativ,no
vergehen,no,passare (tempo),verging,vergangen,ist vergangen,-,no
helfen,no,aiutare,half,geholfen,hat geholfen,Dativ,no
gewinnen,no,vincere,gewann,gewonnen,hat gewonnen,Akkusativ,no
schließen,no,chiudere,schloss,geschlossen,hat geschlossen,Akkusativ,no
fühlen,sì,sentire,fühlte,gefühlt,hat gefühlt,Akkusativ,sì (sich fühlen)
bieten,no,offrire,bot,geboten,hat geboten,Dativ + Akkusativ,no
interessieren,sì,interessare,interessierte,interessiert,hat interessiert,Akkusativ,sì (sich interessieren)
erinnern,sì,ricordare,erinnerte,erinnert,hat erinnert,Akkusativ,sì (sich erinnern)
ergeben,no,risultare,ergab,ergeben,hat ergeben,Akkusativ,sì (sich ergeben)
anbieten,no,offrire,bot an,angeboten,hat angeboten,Dativ + Akkusativ,no
studieren,sì,studiare,studierte,studiert,hat studiert,Akkusativ,no
verbinden,no,collegare,verband,verbunden,hat verbunden,Akkusativ,no
ansehen,no,guardare,sah an,angesehen,hat angesehen,Akkusativ,sì (sich ansehen)
fehlen,sì,mancare,fehlte,gefehlt,hat gefehlt,Dativ,no
bedeuten,sì,significare,bedeutete,bedeutet,hat bedeutet,Akkusativ,no
vergleichen,no,paragonare,verglich,verglichen,hat verglichen,Akkusativ,no
schlafen,no,dormire,schlief,geschlafen,hat geschlafen,-,no
trinken,no,bere,trank,getrunken,hat getrunken,Akkusativ,no
essen,no,mangiare,aß,gegessen,hat gegessen,Akkusativ,no
lieben,sì,amare,liebte,geliebt,hat geliebt,Akkusativ,no
hören,sì,sentire,hörte,gehört,hat gehört,Akkusativ,no
kaufen,sì,comprare,kaufte,gekauft,hat gekauft,Dativ + Akkusativ,no
verkaufen,sì,vendere,verkaufte,verkauft,hat verkauft,Dativ + Akkusativ,no
öffnen,sì,aprire,öffnete,geöffnet,hat geöffnet,Akkusativ,no
ändern,sì,cambiare,änderte,geändert,hat geändert,Akkusativ,sì (sich ändern)
steigen,no,salire,stieg,gestiegen,ist gestiegen,-,no
hängen,no,appendere,hing,gehangen,hat gehangen,-,no
achten,sì,fare attenzione,achtete,geachtet,hat geachtet,Akkusativ,no
benutzen,sì,usare,benutzte,benutzt,hat benutzt,Akkusativ,no
verwenden,no,utilizzare,verwandte/verwendete,verwandt/verwendet,hat verwandt/verwendet,Akkusativ,no
bestimmen,sì,determinare,bestimmte,bestimmt,hat bestimmt,Akkusativ,no
untersuchen,sì,esaminare,untersuchte,untersucht,hat untersucht,Akkusativ,no
betrachten,sì,considerare,betrachtete,betrachtet,hat betrachtet,Akkusativ,no
beschreiben,no,descrivere,beschrieb,beschrieben,hat beschrieben,Akkusativ,no
beweisen,no,dimostrare,bewies,bewiesen,hat bewiesen,Akkusativ,no
entscheiden,no,decidere,entschied,entschieden,hat entschieden,Akkusativ,sì (sich entscheiden)
erfahren,no,venire a sapere,erfuhr,erfahren,hat erfahren,Akkusativ,no
genießen,no,godere,genoss,genossen,hat genossen,Akkusativ,no
behalten,no,mantenere,behielt,behalten,hat behalten,Akkusativ,no
begegnen,sì,incontrare,begegnete,begegnet,ist begegnet,Dativ,no
bemerken,sì,notare,bemerkte,bemerkt,hat bemerkt,Akkusativ,no
beschließen,no,decidere,beschloss,beschlossen,hat beschlossen,Akkusativ,no
bewegen,sì/no,muovere,bewegte/bewog,bewegt/bewogen,hat bewegt/bewogen,Akkusativ,sì (sich bewegen)
beziehen,no,riferirsi,bezog,bezogen,hat bezogen,Akkusativ,sì (sich beziehen)
bitten,no,pregare,bat,gebeten,hat gebeten,Akkusativ,no
fördern,sì,promuovere,förderte,gefördert,hat gefördert,Akkusativ,no
fordern,sì,esigere,forderte,gefordert,hat gefordert,Akkusativ,no
sorgen,sì,preoccuparsi,sorgte,gesorgt,hat gesorgt,Akkusativ,sì (sich sorgen)
freuen,sì,rallegrarsi,freute,gefreut,hat gefreut,Akkusativ,sì (sich freuen)
ärgern,sì,irritare,ärgerte,geärgert,hat geärgert,Akkusativ,sì (sich ärgern)
wundern,sì,stupirsi,wunderte,gewundert,hat gewundert,Akkusativ,sì (sich wundern)
hoffen,sì,sperare,hoffte,gehofft,hat gehofft,Akkusativ,no
wünschen,sì,desiderare,wünschte,gewünscht,hat gewünscht,Dativ + Akkusativ,sì (sich wünschen)
leuchten,sì,illuminare,leuchtete,geleuchtet,hat geleuchtet,-,no
brennen,no,bruciare,brannte,gebrannt,hat gebrannt,-,no
bauen,sì,costruire,baute,gebaut,hat gebaut,Akkusativ,no
zerstören,sì,distruggere,zerstörte,zerstört,hat zerstört,Akkusativ,no
retten,sì,salvare,rettete,gerettet,hat gerettet,Akkusativ,no
töten,sì,uccidere,tötete,getötet,hat getötet,Akkusativ,no
sterben,no,morire,starb,gestorben,ist gestorben,-,no
aufwachsen,no,crescere,wuchs auf,aufgewachsen,ist aufgewachsen,-,no
pflegen,sì,curare,pflegte,gepflegt,hat gepflegt,Akkusativ,no
heilen,sì,guarire,heilte,geheilt,hat geheilt,Akkusativ,no
leiden,no,soffrire,litt,gelitten,hat gelitten,Akkusativ,no
schmerzen,sì,far male,schmerzte,geschmerzt,hat geschmerzt,-,no
lachen,sì,ridere,lachte,gelacht,hat gelacht,-,no
weinen,sì,piangere,weinte,geweint,hat geweint,-,no
lächeln,sì,sorridere,lächelte,gelächelt,hat gelächelt,-,no
grüßen,sì,salutare,grüßte,gegrüßt,hat gegrüßt,Akkusativ,no
danken,sì,ringraziare,dankte,gedankt,hat gedankt,Dativ,no
entschuldigen,sì,scusare,entschuldigte,entschuldigt,hat entschuldigt,Akkusativ,sì (sich entschuldigen)
verzeihen,no,perdonare,verzieh,verziehen,hat verziehen,Dativ,no
versprechen,no,promettere,versprach,versprochen,hat versprochen,Dativ + Akkusativ,no
drohen,sì,minacciare,drohte,gedroht,hat gedroht,Dativ,no
warnen,sì,avvertire,warnte,gewarnt,hat gewarnt,Akkusativ,no
loben,sì,lodare,lobte,gelobt,hat gelobt,Akkusativ,no
kritisieren,sì,criticare,kritisierte,kritisiert,hat kritisiert,Akkusativ,no
antworten,sì,rispondere,antwortete,geantwortet,hat geantwortet,Dativ,no
reagieren,sì,reagire,reagierte,reagiert,hat reagiert,Akkusativ,no
diskutieren,sì,discutere,diskutierte,diskutiert,hat diskutiert,Akkusativ,no
streiten,no,litigare,stritt,gestritten,hat gestritten,-,sì (sich streiten)
kämpfen,sì,combattere,kämpfte,gekämpft,hat gekämpft,-,no
siegen,sì,vincere,siegte,gesiegt,hat gesiegt,-,no
verteidigen,sì,difendere,verteidigte,verteidigt,hat verteidigt,Akkusativ,no
angreifen,no,attaccare,griff an,angegriffen,hat angegriffen,Akkusativ,no
schützen,sì,proteggere,schützte,geschützt,hat geschützt,Akkusativ,no
riskieren,sì,rischiare,riskierte,riskiert,hat riskiert,Akkusativ,no
wagen,sì,osare,wagte,gewagt,hat gewagt,Akkusativ,no
trauen,sì,fidarsi,traute,getraut,hat getraut,Dativ,sì (sich trauen)
vertrauen,sì,aver fiducia,vertraute,vertraut,hat vertraut,Dativ,no
zweifeln,sì,dubitare,zweifelte,gezweifelt,hat gezweifelt,Akkusativ,no
überzeugen,sì,convincere,überzeugte,überzeugt,hat überzeugt,Akkusativ,no
beeinflussen,sì,influenzare,beeinflusste,beeinflusst,hat beeinflusst,Akkusativ,no
scheitern,sì,fallire,scheiterte,gescheitert,ist gescheitert,-,no
gelingen,no,riuscire,gelang,gelungen,ist gelungen,Dativ,no
misslingen,no,fallire,misslang,misslungen,ist misslungen,Dativ,no
klappen,sì,funzionare,klappte,geklappt,hat geklappt,-,no
funktionieren,sì,funzionare,funktionierte,funktioniert,hat funktioniert,-,no
passen,sì,andare bene,passte,gepasst,hat gepasst,Dativ,no
stimmen,sì,essere giusto,stimmte,gestimmt,hat gestimmt,-,no
zählen,sì,contare,zählte,gezählt,hat gezählt,Akkusativ,no
rechnen,sì,calcolare,rechnete,gerechnet,hat gerechnet,Akkusativ,no
messen,no,misurare,maß,gemessen,hat gemessen,Akkusativ,no
wiegen,no,pesare,wog,gewogen,hat gewogen,Akkusativ,no
kosten,sì,costare,kostete,gekostet,hat gekostet,Akkusativ,no
zahlen,sì,pagare,zahlte,gezahlt,hat gezahlt,Akkusativ,no
sparen,sì,risparmiare,sparte,gespart,hat gespart,Akkusativ,no
ausgeben,no,spendere,gab aus,ausgegeben,hat ausgegeben,Akkusativ,no
verdienen,sì,guadagnare,verdiente,verdient,hat verdient,Akkusativ,no
investieren,sì,investire,investierte,investiert,hat investiert,Akkusativ,no
leihen,no,prestare,lieh,geliehen,hat geliehen,Dativ + Akkusativ,no
borgen,sì,prendere in prestito,borgte,geborgt,hat geborgt,Dativ + Akkusativ,no
schulden,sì,dovere (denaro),schuldete,geschuldet,hat geschuldet,Dativ + Akkusativ,no
besitzen,no,possedere,besaß,besessen,hat besessen,Akkusativ,no
teilen,sì,dividere,teilte,geteilt,hat geteilt,Akkusativ,no
trennen,sì,separare,trennte,getrennt,hat getrennt,Akkusativ,sì (sich trennen)
sammeln,sì,raccogliere,sammelte,gesammelt,hat gesammelt,Akkusativ,no
verteilen,sì,distribuire,verteilte,verteilt,hat verteilt,Akkusativ,no
ordnen,sì,ordinare,ordnete,geordnet,hat geordnet,Akkusativ,no
organisieren,sì,organizzare,organisierte,organisiert,hat organisiert,Akkusativ,no
planen,sì,pianificare,plante,geplant,hat geplant,Akkusativ,no
vorbereiten,sì,preparare,bereitete vor,vorbereitet,hat vorbereitet,Akkusativ,sì (sich vorbereiten)
durchführen,sì,eseguire,führte durch,durchgeführt,hat durchgeführt,Akkusativ,no
ausführen,sì,eseguire,führte aus,ausgeführt,hat ausgeführt,Akkusativ,no
erfüllen,sì,compiere,erfüllte,erfüllt,hat erfüllt,Akkusativ,no
vollenden,sì,completare,vollendete,vollendet,hat vollendet,Akkusativ,no
beenden,sì,terminare,beendete,beendet,hat beendet,Akkusativ,no
aufhören,sì,smettere,hörte auf,aufgehört,hat aufgehört,-,no
abbrechen,no,interrompere,brach ab,abgebrochen,hat abgebrochen,Akkusativ,no
fortsetzen,sì,continuare,setzte fort,fortgesetzt,hat fortgesetzt,Akkusativ,no
weitermachen,sì,continuare,machte weiter,weitergemacht,hat weitergemacht,-,no
pausieren,sì,fare una pausa,pausierte,pausiert,hat pausiert,-,no
ruhen,sì,riposare,ruhte,geruht,hat geruht,-,no
entspannen,sì,rilassarsi,entspannte,entspannt,hat entspannt,Akkusativ,sì (sich entspannen)
erholen,sì,riprendersi,erholte,erholt,hat erholt,Akkusativ,sì (sich erholen)
ausruhen,sì,riposarsi,ruhte aus,ausgeruht,hat ausgeruht,Akkusativ,sì (sich ausruhen)
träumen,sì,sognare,träumte,geträumt,hat geträumt,Akkusativ,no
erwachen,sì,svegliarsi,erwachte,erwacht,ist erwacht,-,no
aufwachen,sì,svegliarsi,wachte auf,aufgewacht,ist aufgewacht,-,no
aufstehen,no,alzarsi,stand auf,aufgestanden,ist aufgestanden,-,no
aufwecken,sì,svegliare,weckte auf,aufgeweckt,hat aufgeweckt,Akkusativ,no
anziehen,no,vestirsi,zog an,angezogen,hat angezogen,Akkusativ,sì (sich anziehen)
ausziehen,no,spogliarsi,zog aus,ausgezogen,hat ausgezogen,Akkusativ,sì (sich ausziehen)
kleiden,sì,vestire,kleidete,gekleidet,hat gekleidet,Akkusativ,sì (sich kleiden)
waschen,no,lavare,wusch,gewaschen,hat gewaschen,Akkusativ,sì (sich waschen)
putzen,sì,pulire,putzte,geputzt,hat geputzt,Akkusativ,no
reinigen,sì,pulire,reinigte,gereinigt,hat gereinigt,Akkusativ,no
trocknen,sì,asciugare,trocknete,getrocknet,hat getrocknet,Akkusativ,no
